result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
27.53,AFG,Hangzhou,CHN,2023-10-01,Kimia Yousufi,1996,Female,200,NR
24.39,AHO,Ciudad de México,MEX,1990-11-30,Jacqueline Sophia,1971,Female,200,NR
24.53,AIA,El Paso TX,USA,2017-05-13,Artesha Richardson,1998,Female,200,NR
23.55,ALB,Göteborg/U,SWE,2006-08-10,Klodiana Shala,1979,Female,200,NR
23.38,ALG,Brescia,ITA,1992-05-16,Yasmina Azzizi,1966,Female,200,NR
24.95,AND,Schaan,LIE,2018-06-09,Cristina Llovera,1996,Female,200,NR
24.61,ANG,Lisboa,POR,2017-06-17,Adriana Alves,1995,Female,200,NR
22.66,ANT,Eugene OR,USA,2022-06-09,Joella Lloyd,2002,Female,200,NR
22.94,ARG,La Paz,BOL,1978-11-11,Beatriz Allocco,1955,Female,200,NR
24.30,ARM,Tbilisi,GEO,2016-07-15,Gayane Chiloyan,2000,Female,200,NR
25.20,ARU,Oranjestad,NED,2011-06-23,Jelissa Nedd,,Female,200,NR
26.66,ASA,Honiara,SOL,2023-11-29,Filomenaleonisa Iakopo,2006,Female,200,NR
22.23,AUS,Stuttgart,GER,1997-07-13,Melinda Gainsford-Taylor,1971,Female,200,NR
22.70,AUT,Linz,AUT,2002-07-07,Karin Mayr-Krifka,1971,Female,200,NR
23.64,AZE,Almaty,KAZ,2018-06-30,Zakiyya Hasanova,1995,Female,200,NR
21.74,BAH,Zürich,SUI,2019-08-29,Shaunae Miller-Uibo,1994,Female,200,NR
24.97,BAN,Dhaka,BAN,2019-08-31,Shirin Akter,1994,Female,200,NR
22.61,BAR,Bridgetown,BAR,2016-03-18,Sada Williams,1997,Female,200,NR
26.50,BDI,Durban,RSA,1993-06-25,Phydia Inamahoro,,Female,200,NR
22.20,BEL,Bruxelles,BEL,2006-07-09,Kim Gevaert,1978,Female,200,NR
22.81,BEN,Angers,FRA,2005-07-16,Fabienne Féraez,1976,Female,200,NR
23.05,BER,Los Angeles CA,USA,1977-06-10,Debbie Jones,1959,Female,200,NR
30.87,BHU,Nanjing,CHN,2014-08-21,Sangay Wangmo,1998,Female,200,NR
