result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
22:28.72,CAF,Marseille,FRA,2004-05-23,Mariam Tchalo-Bintou,,Female,3000W,NR,Outdoor
18:39.06,CHA,Rennes,FRA,2009-05-03,Bibiro Ali Taher,1988.0,Female,3000W,NR,Outdoor
12:10.31,CHN,Zhengzhou,CHN,2005-08-28,Chen Zhuo,,Female,3000W,NR,Outdoor
21:40.57,CIV,Saran,FRA,2007-05-06,Melanie Adje-You,,Female,3000W,NR,Outdoor
11:52.38,CZE,Ostrava,CZE,2015-05-26,Anežka Drahotová,1995.0,Female,3000W,NR,Outdoor
14:45.4,EGY,Dakar,SEN,1988-08-21,Nagwa Ibrahim Ali,1975.0,Female,3000W,NR,Outdoor
23:40.08,GAB,Niort,FRA,2011-05-08,Armelle Otola,,Female,3000W,NR,Outdoor
12:22.62,GBR,Sydney,AUS,2009-02-14,Jo Atkinson,1985.0,Female,3000W,NR,Outdoor
23:38.5,GBS,Madrid,ESP,2021-04-24,Karolina Nater,2007.0,Female,3000W,NR,Outdoor
19:36.54,GEQ,Grenoble,FRA,2006-05-06,Apolonia Asumu-Biye,,Female,3000W,NR,Outdoor
14:56.15,GHA,Bisceglie,ITA,2005-10-09,Sabine Sobo Blay,1990.0,Female,3000W,NR,Outdoor
12:33.51,HUN,Ostrava,CZE,2015-05-26,Viktória Madarász,1985.0,Female,3000W,NR,Outdoor
14:18.7,ISR,UNKNOWN,???,1998-01-01,Yulia Kotler,1976.0,Female,3000W,NR,Outdoor
12:25.01,JPN,Naka,JPN,2007-06-02,Mayumi Kawasaki,1980.0,Female,3000W,NR,Outdoor
13:57.75,MAR,Roma,ITA,2018-02-04,Fatima Lotfi,1992.0,Female,3000W,NR,Outdoor
15:37.23,MDV,Lagos,NGR,1998-07-06,S Reem,,Female,3000W,NR,Outdoor
14:35.97,MRI,Réduit,MRI,2006-04-09,Maria Yolene Raffin,,Female,3000W,NR,Outdoor
12:00.53,NOR,Lillehammer,NOR,2009-07-31,Kjersti Tysse Plätzer,1972.0,Female,3000W,NR,Outdoor
12:53.19,RSA,Pretoria,RSA,2004-02-20,Nicolene Cronje,1983.0,Female,3000W,NR,Outdoor
11:50.30,RUS,Moskva,RUS,2016-07-28,Marina Pandakova,1989.0,Female,3000W,NR,Outdoor
15:12.5,SLE,Freetown,SLE,2013-05-01,Mabel Kamara,,Female,3000W,NR,Outdoor
12:30.32,SVK,Šamorín,SVK,2019-06-15,Mária Czaková,1988.0,Female,3000W,NR,Outdoor
13:29.26,TUR,Tampere,FIN,2018-07-14,Meryem Bekmez,2000.0,Female,3000W,NR,Outdoor
16:19.4,UGA,Mbarara,UGA,2004-08-10,Jane Suuto,1978.0,Female,3000W,NR,Outdoor
15:41.91,ALB,Athína,GRE,1994-02-20,Mimoza Xhafa,1975.0,Female,3000W,NR,Indoor
24:09.1,AND,Bompas,FRA,2006-11-25,Sandra Villacampa,1993.0,Female,3000W,NR,Indoor
11:53.82,AUS,Toronto,CAN,1993-03-13,Kerry Saxby-Junna,1961.0,Female,3000W,NR,Indoor
12:52.26,AUT,Wien,AUT,1993-02-20,Vera Toporek,1967.0,Female,3000W,NR,Indoor
13:58.3,BEL,Liévin,FRA,1987-01-24,Sabine Desmet,1971.0,Female,3000W,NR,Indoor
14:14.25,BIH,Paris,FRA,1994-03-11,Kada Delic,1965.0,Female,3000W,NR,Indoor
11:54.62,BLR,Minsk,BLR,2005-02-13,Ryta Turava,1980.0,Female,3000W,NR,Indoor
12:50.28,BUL,Sofia,BUL,2001-01-27,Nevena Mineva-Dimitrova,1972.0,Female,3000W,NR,Indoor
12:32.34,CAN,Budapest,HUN,1989-03-04,Ann Peel,1961.0,Female,3000W,NR,Indoor
13:31.71,CRO,Zagreb,CRO,2024-02-03,Lana Švarbić,2004.0,Female,3000W,NR,Indoor
12:28.76,CZE,Glasgow,GBR,1990-03-04,Dana Vavřačová,1954.0,Female,3000W,NR,Indoor
